06:34:09 | DEBUG    | DL-1 | https://www.skeleton.dev:443 "GET / HTTP/1.1" 200 None
06:34:09 | INFO     | MainThread | [3/100] https://www.skeleton.dev/docs/svelte/get-started/installation
06:34:09 | DEBUG    | DL-1 | Saved resource -> Skeleton UI Sveltekit/index
06:34:09 | DEBUG    | DL-2 | https://cdn.carbonads.com:443 "GET /carbon.js?serve=CWYD627U&placement=carbonadsnet HTTP/1.1" 200 None
06:34:09 | DEBUG    | DL-2 | Saved resource -> Skeleton UI Sveltekit/cdn/cdn.carbonads.com/carbon-q346622db43.js
06:34:09 | DEBUG    | DL-3 | https://www.skeleton.dev:443 "GET /sitemap-index.xml HTTP/1.1" 200 187
06:34:09 | DEBUG    | DL-3 | Saved resource -> Skeleton UI Sveltekit/sitemap-index.xml
06:34:09 | DEBUG    | DL-6 | https://www.skeleton.dev:443 "GET /_astro/ClientRouter.astro_astro_type_script_index_0_lang.Cmlbmn61.js HTTP/1.1" 200 None
06:34:09 | DEBUG    | DL-6 | Saved resource -> Skeleton UI Sveltekit/_astro/ClientRouter.astro_astro_type_script_index_0_lang.Cmlbmn61.js
06:34:09 | DEBUG    | DL-1 | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/introduction.md HTTP/1.1" 200 None
06:34:09 | DEBUG    | DL-1 | Saved resource -> Skeleton UI Sveltekit/docs/svelte/get-started/introduction.md
06:34:09 | DEBUG    | MainThread | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/installation HTTP/1.1" 200 None
